"Local" "Type" "Order" "Family" "Quantity" "X15N" "X13C"
"75" "Maize" "C4" "Diptera" "Muscidae" 1 11.06 -19.81
"76" "Maize" "C4" "Diptera" "Tachinidae" 1 10.74 -17.9
"77" "Maize" "C4" "Diptera" "No defined family" 1 10.67 -25.09
"78" "Maize" "C4" "Lepidoptera" "Pyralidae" 1 5.91 -23.71
"79" "Maize" "C4" "Lepidoptera" "Noctuidae" 1 9.57 -13.9
"80" "Maize" "C4" "Lepidoptera" "Pyralidae" 1 11.4 -19.57
"81" "Maize" "C4" "Lepidoptera" "Crambidae" 1 10.31 -14.24
"82" "Maize" "C4" "Lepidoptera" "Erebidae" 1 7.37 -22.89
"83" "Maize" "C4" "Lepidoptera" "Geometridae" 1 11.98 -29.23
"84" "Maize" "C4" "Lepidoptera" "Pyralidae" 1 12.35 -25.4
"85" "Maize" "C4" "Lepidoptera" "Crambidae" 1 8.22 -34.24
"86" "Maize" "C4" "Lepidoptera" "Erebidae" 1 9.53 -28.46
"87" "Maize" "C4" "Lepidoptera" "Pyralidae" 1 12.25 -25.9
"88" "Maize" "C4" "Lepidoptera" "Erebidae" 1 7.03 -25.36
"89" "Maize" "C4" "Lepidoptera" "Erebidae" 1 14.74 -25.01
"90" "Maize" "C4" "Lepidoptera" "Erebidae" 1 12.39 -27.65
"91" "Maize" "C4" "Lepidoptera" "Pyralidae" 1 7.39 -23.21
"92" "Maize" "C4" "Lepidoptera" "Gelechiidae" 1 10.39 -12.42
"93" "Maize" "C4" "Lepidoptera" "Pyralidae" 50 11.6 -27.5
"94" "Forest" "C3" "Trichoptera" "No defined family" 20 5.25 -22.34
"95" "Forest" "C3" "Diptera" "Chironomidae" 1 6.88 -21.7
"96" "Forest" "C3" "Diptera" "Culicidae" 1 15.02 -26.56
"97" "Forest" "C3" "Lepidoptera" "Crambidae" 1 7.05 -28.84
"98" "Forest" "C3" "Neuroptera" "Chrysopidae" 1 10.86 -29.88
"99" "Forest" "C3" "Lepidoptera" "Geometridae" 1 8.91 -31.28
"100" "Forest" "C3" "Diptera" "Chironomidae" 2 5.15 -22.02
