d13C,d15N
-15.84,9.75
-17.44,11.31
-14.19,9.71
-14.36,9.69
-14.57,9.98
-17.95,9.66
-16.3,9.9
-15.97,9.82
-14.78,9.48
-15.86,9.63
-16.56,9.63
-16.06,10.11
-14.58,9.29
-15.25,10.36
-14.97,9.61
-16.1,8.94
-15.51,9.19
-15.89,9.2
-16.37,8.93
-15.43,9.16
-16.65,9.18
-14.71,9.23
-16.72,9.27
-15.78,9.66
-14.74,9.03
-15.37,8.97
-15.83,9.16
-15.64,9.12
-15.37,8.87
-14.67,8.83
-15.09,9.62
-16.57,11.34
