d13C,d15N
-21.87,11.04
-22.33,10.52
-24.09,9.36
-22.74,10.96
-23.13,9.5
-23.6,10.5
-22.32,10.6
-23.9,9.22
-22.3,9.99
-22.3,9.36
-23.44,9.09
-20.48,11.66
-22.31,10.95
-22.86,10.57
-21.46,11.99
-21.71,10.92
-20.8,10.96
-22.52,8.81
